Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Infant behavior & development.,Infant Behav Dev,0163-6383,1879-0453,United States,Behavioral Sciences; Pediatrics,1978,7806016
Infant mental health journal.,Infant Ment Health J,0163-9641,1097-0355,United States,Behavioral Sciences; Pediatrics; Psychology,1980,8007859
Integrative psychological & behavioral science.,Integr Psychol Behav Sci,1932-4502,1936-3567,United States,Behavioral Sciences; Psychology,2007,101319534
International journal of behavioral medicine.,Int J Behav Med,1070-5503,1532-7558,England,Behavioral Sciences,1994,9421097
International journal of offender therapy and comparative criminology.,Int J Offender Ther Comp Criminol,0306-624X,1552-6933,United States,Behavioral Sciences; Therapeutics,1972,0333601
Journal of applied behavior analysis.,J Appl Behav Anal,0021-8855,1938-3703,United States,Behavioral Sciences,1968,0174763
Journal of behavior therapy and experimental psychiatry.,J Behav Ther Exp Psychiatry,0005-7916,1873-7943,Netherlands,Behavioral Sciences; Psychiatry; Therapeutics,1970,0245075
Journal of behavioral addictions.,J Behav Addict,2062-5871,2063-5303,Hungary,Behavioral Sciences; Psychiatry,2012,101602037
Journal of behavioral medicine.,J Behav Med,0160-7715,1573-3521,United States,Behavioral Sciences,1978,7807105
Journal of child sexual abuse.,J Child Sex Abus,1053-8712,1547-0679,United States,Behavioral Sciences; Psychiatry,1992,9301157
"Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology.",J Comp Physiol A Neuroethol Sens Neural Behav Physiol,0340-7594,1432-1351,Germany,Behavioral Sciences; Neurology,2001,101141792
Journal of developmental and behavioral pediatrics : JDBP.,J Dev Behav Pediatr,0196-206X,1536-7312,United States,Behavioral Sciences; Pediatrics,1980,8006933
Journal of experimental psychology. Animal learning and cognition.,J Exp Psychol Anim Learn Cogn,2329-8456,2329-8464,United States,Behavioral Sciences; Psychology,2014,101632727
Journal of health and social behavior.,J Health Soc Behav,0022-1465,2150-6000,United States,Behavioral Sciences,1967,0103130
Journal of homosexuality.,J Homosex,0091-8369,1540-3602,United States,Behavioral Sciences,1974,7502386
Journal of lesbian studies.,J Lesbian Stud,1089-4160,1540-3548,England,Behavioral Sciences,1997,9891002
Journal of nutrition education and behavior.,J Nutr Educ Behav,1499-4046,1878-2620,United States,Behavioral Sciences; Education; Nutritional Sciences,2002,101132622
Journal of sex & marital therapy.,J Sex Marital Ther,0092-623X,1521-0715,England,Behavioral Sciences; Psychiatry,1974,7502387
Journal of sex research.,J Sex Res,0022-4499,1559-8519,United States,Behavioral Sciences; Reproductive Medicine,1965,0062647
Journal of the experimental analysis of behavior.,J Exp Anal Behav,0022-5002,1938-3711,United States,Behavioral Sciences,1958,0203727
Journal of the history of the behavioral sciences.,J Hist Behav Sci,0022-5061,1520-6696,United States,Behavioral Sciences; History of Medicine,1965,18020010R
Journal of youth and adolescence.,J Youth Adolesc,0047-2891,1573-6601,United States,Behavioral Sciences; Pediatrics; Psychology,1972,0333507
LGBT health.,LGBT Health,2325-8292,2325-8306,United States,Behavioral Sciences; Public Health,2014,101616707
Law and human behavior.,Law Hum Behav,0147-7307,1573-661X,United States,Behavioral Sciences; Jurisprudence,1977,7801255
Learning & behavior.,Learn Behav,1543-4494,1543-4508,United States,Behavioral Sciences; Veterinary Medicine,2003,101155056
Longitudinal and life course studies : international journal.,Longit Life Course Stud,,1757-9597,England,Behavioral Sciences; Public Health; Social Sciences,2009,101513496
Multivariate behavioral research.,Multivariate Behav Res,0027-3171,1532-7906,United States,Behavioral Sciences; Psychology; Statistics as Topic,1966,0046052
Nature human behaviour.,Nat Hum Behav,,2397-3374,England,Behavioral Sciences; Psychology,2017,101697750
Neurobiology of learning and memory.,Neurobiol Learn Mem,1074-7427,1095-9564,United States,Behavioral Sciences; Biology; Neurology,1995,9508166
Neurocase.,Neurocase,1355-4794,1465-3656,England,Behavioral Sciences; Neurology; Psychiatry; Psychology,1995,9511374
Neuroscience and biobehavioral reviews.,Neurosci Biobehav Rev,0149-7634,1873-7528,United States,Behavioral Sciences; Neurology,1978,7806090
"Pharmacology, biochemistry, and behavior.",Pharmacol Biochem Behav,0091-3057,1873-5177,United States,Behavioral Sciences; Biochemistry; Pharmacology; Psychopharmacology,1973,0367050
Physiology & behavior.,Physiol Behav,0031-9384,1873-507X,United States,Behavioral Sciences; Physiology; Psychophysiology,1966,0151504
Psychometrika.,Psychometrika,0033-3123,1860-0980,England,Behavioral Sciences,1936,0376503
"Sexual development : genetics, molecular biology, evolution, endocrinology, embryology, and pathology of sex determination and differentiation.",Sex Dev,1661-5425,1661-5433,Switzerland,Behavioral Sciences,2007,101316472
Suicide & life-threatening behavior.,Suicide Life Threat Behav,0363-0234,1943-278X,England,Behavioral Sciences; Psychiatry,1976,7608054
The Behavioral and brain sciences.,Behav Brain Sci,0140-525X,1469-1825,England,Behavioral Sciences; Brain; Neurology; Psychology,1978,7808666
The International journal of eating disorders.,Int J Eat Disord,0276-3478,1098-108X,United States,Behavioral Sciences,1981,8111226
The Journal of genetic psychology.,J Genet Psychol,0022-1325,1940-0896,United States,Behavioral Sciences; Genetics; Psychology,1954,2985112R
The international journal of behavioral nutrition and physical activity.,Int J Behav Nutr Phys Act,,1479-5868,England,Behavioral Sciences; Nutritional Sciences; Sports Medicine,2004,101217089
The journal of behavioral health services & research.,J Behav Health Serv Res,1094-3412,1556-3308,United States,Behavioral Sciences; Health Services; Health Services Research,1998,9803531
Translational behavioral medicine.,Transl Behav Med,1869-6716,1613-9860,England,Behavioral Sciences; Medicine; Public Health,2011,101554668
Violence and victims.,Violence Vict,0886-6708,,United States,Behavioral Sciences; Psychology,1986,8916436
